,coma,puntos,parentesis,word_count,letras,charbyword,concre_media,cant_abstractas
3828,0,1,0,5,25,5.0,1.348,2
4990,0,0,0,9,49,5.444444444444445,2.131111111111111,3
3470,1,1,0,7,36,5.142857142857143,0.6671428571428571,3
3754,0,1,0,9,37,4.111111111111111,1.5022222222222221,3
6841,0,1,0,13,54,4.153846153846154,2.1969230769230768,6
701,0,1,0,5,22,4.4,1.6760000000000002,1
4986,0,1,0,3,15,5.0,0.53,1
2258,0,1,0,15,54,3.6,2.652,8
2307,0,1,0,13,50,3.8461538461538463,2.4007692307692308,5
6085,0,1,0,7,30,4.285714285714286,1.4414285714285715,1
3466,0,1,0,18,62,3.4444444444444446,2.276111111111111,8
3362,0,1,0,9,34,3.7777777777777777,1.59,5
6984,0,1,0,6,21,3.5,1.5266666666666666,3
2407,0,0,0,4,17,4.25,2.045,0
4079,0,0,0,6,22,3.6666666666666665,1.9933333333333334,2
4171,0,0,0,5,23,4.6,1.0059999999999998,3
1084,0,1,0,6,24,4.0,1.0,3
2145,0,0,0,6,19,3.1666666666666665,1.6316666666666666,2
5364,0,1,0,8,27,3.375,2.25375,3
6431,0,1,0,4,14,3.5,2.63,1
5593,1,1,0,6,30,5.0,1.4883333333333333,1
3500,0,1,0,13,54,4.153846153846154,2.129230769230769,4
219,0,1,0,5,18,3.6,2.51,0
7029,0,0,0,7,37,5.285714285714286,1.3471428571428572,4
2744,0,1,0,11,41,3.727272727272727,2.8054545454545456,1
5410,0,0,0,8,46,5.75,1.7125,4
118,0,0,0,6,27,4.5,1.2266666666666666,2
2899,0,0,0,3,10,3.3333333333333335,1.37,1
3276,0,1,0,4,16,4.0,2.52,1
1192,0,1,0,7,25,3.5714285714285716,2.2457142857142856,2
4421,0,1,0,9,50,5.555555555555555,1.88,3
641,0,0,0,7,30,4.285714285714286,2.334285714285714,3
693,0,2,0,12,54,4.5,1.4441666666666668,4
1034,0,1,0,6,24,4.0,1.115,2
2462,0,1,0,4,13,3.25,2.8275,0
5761,0,0,0,6,29,4.833333333333333,1.4799999999999998,3
7043,0,1,0,9,39,4.333333333333333,1.2999999999999998,3
2311,0,1,0,7,23,3.2857142857142856,2.6028571428571428,2
6734,0,1,0,14,67,4.785714285714286,1.3842857142857141,7
1760,0,1,0,6,24,4.0,1.7033333333333331,2
744,0,1,0,3,17,5.666666666666667,0.6533333333333333,1
4956,0,1,0,7,38,5.428571428571429,2.8157142857142854,1
5268,0,1,0,6,24,4.0,1.485,3
6529,0,1,0,7,39,5.571428571428571,1.662857142857143,4
608,0,1,0,4,22,5.5,2.005,2
633,0,1,0,5,35,7.0,1.6219999999999999,0
521,0,1,0,6,22,3.6666666666666665,2.0716666666666668,2
2961,0,1,0,6,20,3.3333333333333335,1.5433333333333332,1
2096,0,1,0,4,18,4.5,1.1375000000000002,2
5882,0,0,0,9,44,4.888888888888889,1.03,2
762,0,1,0,4,16,4.0,1.025,1
2648,3,1,0,30,123,4.1,1.7986666666666666,15
2288,0,1,0,6,34,5.666666666666667,1.7183333333333335,1
3022,0,1,0,10,45,4.5,1.456,5
4410,0,1,0,10,46,4.6,2.082,2
100,0,1,0,7,32,4.571428571428571,2.3000000000000003,2
968,0,1,0,10,52,5.2,2.002,5
1046,0,1,0,5,25,5.0,3.036,0
3606,0,1,0,5,15,3.0,2.418,1
5283,0,1,0,3,16,5.333333333333333,0.6533333333333333,1
507,0,0,0,2,8,4.0,2.26,0
6313,0,1,0,10,28,2.8,1.943,5
5852,0,1,0,5,28,5.6,1.4659999999999997,2
6959,0,1,0,10,48,4.8,1.486,3
910,1,1,0,16,67,4.1875,2.3025,6
2270,0,1,0,4,16,4.0,2.12,2
1684,0,1,0,10,48,4.8,2.467,3
3878,0,1,0,6,31,5.166666666666667,1.71,2
1965,0,1,0,4,17,4.25,1.5474999999999999,1
1540,0,1,0,6,17,2.8333333333333335,2.3433333333333333,1
3155,0,1,0,6,27,4.5,2.0166666666666666,2
4155,0,1,0,4,12,3.0,2.625,0
6535,0,1,0,7,23,3.2857142857142856,1.8457142857142856,3
2685,1,1,0,13,37,2.8461538461538463,1.716923076923077,4
5733,0,2,0,29,131,4.517241379310345,1.660689655172414,12
2945,0,1,0,11,52,4.7272727272727275,1.2154545454545453,4
5845,0,1,0,6,39,6.5,0.2383333333333333,1
5689,0,1,0,5,24,4.8,1.782,1
3005,0,1,0,7,32,4.571428571428571,1.3628571428571428,2
6049,0,1,0,9,42,4.666666666666667,2.0955555555555554,4
5994,0,1,0,13,47,3.6153846153846154,2.4676923076923076,6
2313,0,0,0,7,31,4.428571428571429,2.508571428571429,1
4050,0,1,0,3,15,5.0,1.9633333333333336,1
3513,0,1,0,7,23,3.2857142857142856,1.7542857142857144,3
746,0,1,0,6,29,4.833333333333333,1.3816666666666668,2
7103,0,1,0,8,35,4.375,1.6287500000000001,4
2010,0,1,0,6,23,3.8333333333333335,1.3366666666666667,3
6249,0,1,0,3,15,5.0,1.1033333333333333,0
5426,0,1,0,13,66,5.076923076923077,1.784615384615385,8
2211,0,1,0,6,35,5.833333333333333,1.3166666666666667,0
158,1,1,0,8,30,3.75,1.65375,3
2019,0,1,0,6,29,4.833333333333333,0.8933333333333332,3
5544,0,1,0,6,26,4.333333333333333,2.3366666666666664,2
5389,0,1,0,8,34,4.25,1.57375,3
1949,0,1,0,9,47,5.222222222222222,1.5344444444444445,4
1939,0,1,0,7,25,3.5714285714285716,0.9171428571428571,2
4309,0,1,0,7,29,4.142857142857143,0.9328571428571429,2
605,0,1,0,8,39,4.875,1.0125000000000002,3
5524,1,1,0,21,88,4.190476190476191,1.8480952380952382,12
4582,0,0,0,7,30,4.285714285714286,2.224285714285714,2
650,0,0,0,5,22,4.4,1.9300000000000002,3
2204,0,1,0,3,10,3.3333333333333335,1.5166666666666666,0
6821,0,1,0,22,78,3.5454545454545454,2.408181818181818,11
6541,0,1,0,8,32,4.0,1.18875,3
1069,0,1,0,7,43,6.142857142857143,0.8071428571428572,1
231,0,1,0,8,28,3.5,1.9874999999999998,3
607,0,1,0,5,24,4.8,0.656,2
4984,0,1,0,6,24,4.0,1.5833333333333333,3
6600,0,1,0,4,22,5.5,1.23,1
6672,0,1,0,7,32,4.571428571428571,1.7557142857142856,2
1261,0,1,0,8,29,3.625,1.7249999999999999,4
3695,0,1,0,7,40,5.714285714285714,1.8814285714285715,3
6343,0,1,0,10,43,4.3,1.6700000000000004,1
6349,0,1,0,4,18,4.5,1.4649999999999999,1
761,0,0,0,3,15,5.0,1.79,1
3743,0,1,0,4,14,3.5,2.37,1
7122,0,1,0,6,18,3.0,1.0116666666666667,2
6747,0,1,0,4,14,3.5,1.8375000000000001,2
5716,0,0,0,5,28,5.6,1.282,2
3598,1,1,0,11,41,3.727272727272727,1.739090909090909,5
991,0,0,0,7,25,3.5714285714285716,2.152857142857143,4
2274,0,0,0,4,8,2.0,3.05,2
4470,0,1,0,11,43,3.909090909090909,1.7545454545454542,3
4472,0,1,0,5,23,4.6,1.1,0
6473,0,0,0,8,31,3.875,2.73,1
1583,0,1,0,6,23,3.8333333333333335,1.9133333333333333,3
1859,0,1,0,3,9,3.0,1.9633333333333336,1
6854,0,0,0,3,24,8.0,0.8466666666666667,0
6190,0,1,0,11,45,4.090909090909091,2.3545454545454545,1
5139,0,0,0,10,49,4.9,1.657,4
7087,0,0,0,5,17,3.4,2.6979999999999995,0
970,0,1,0,10,50,5.0,0.9799999999999999,6
2207,0,1,0,9,33,3.6666666666666665,2.3899999999999997,3
6371,0,1,0,11,53,4.818181818181818,1.5027272727272725,6
3449,0,1,0,3,8,2.6666666666666665,1.9633333333333336,1
4894,0,1,0,11,52,4.7272727272727275,2.2809090909090908,2
424,0,1,0,12,35,2.9166666666666665,1.9325000000000003,7
2623,0,1,0,19,82,4.315789473684211,1.7457894736842106,12
1562,0,1,0,6,33,5.5,1.6416666666666666,0
2914,0,1,0,5,21,4.2,1.43,2
1068,0,2,0,7,28,4.0,0.6699999999999999,3
614,0,1,0,6,31,5.166666666666667,1.2049999999999998,2
1435,0,0,0,6,33,5.5,2.3183333333333334,2
2129,0,1,0,8,34,4.25,1.705,0
1546,0,1,0,6,31,5.166666666666667,1.2249999999999999,1
336,2,1,0,11,54,4.909090909090909,0.7954545454545454,3
5892,0,1,0,3,7,2.3333333333333335,1.9633333333333336,1
1913,1,1,0,12,59,4.916666666666667,2.348333333333333,4
6323,0,1,0,3,9,3.0,2.0,1
2792,0,0,0,6,27,4.5,0.805,3
2361,0,1,0,6,23,3.8333333333333335,1.5866666666666667,3
5730,0,1,0,6,29,4.833333333333333,0.345,1
1786,0,1,0,5,12,2.4,1.1780000000000002,1
4450,0,1,0,11,39,3.5454545454545454,1.8909090909090909,3
4287,0,1,0,6,25,4.166666666666667,1.4649999999999999,3
3236,1,1,0,15,70,4.666666666666667,0.894,7
6742,0,0,0,9,42,4.666666666666667,1.2999999999999998,3
5472,0,1,0,15,85,5.666666666666667,1.5186666666666666,3
1279,0,1,0,6,16,2.6666666666666665,2.94,1
1728,0,0,0,4,16,4.0,2.73,1
2243,0,0,0,7,34,4.857142857142857,2.1671428571428577,4
1005,0,1,0,15,59,3.933333333333333,1.9433333333333336,4
3515,0,1,0,9,31,3.4444444444444446,2.092222222222222,3
6828,0,1,0,3,19,6.333333333333333,0.8733333333333334,0
6596,0,1,0,6,28,4.666666666666667,2.8966666666666665,1
2649,0,1,0,9,31,3.4444444444444446,1.8800000000000001,5
