,aro,auto_i,auto_me,auto_mine,auto_my,auto_mys,dom,val,pos,neg
5934,3.8333333333333335,0,0,0,0,0,6.183333333333333,6.603333333333334,0,0
5499,3.335,0,0,0,0,0,5.33,6.115,0,0
2203,4.006,0,0,0,0,0,5.92,5.932,1,0
3992,3.81,1,0,0,0,0,6.29,7.55,0,0
6837,4.08,0,0,0,0,0,5.15,4.745,0,1
1970,4.156666666666666,0,0,0,0,0,5.886666666666667,6.669999999999999,0,0
1526,4.3,0,0,0,1,0,5.288,5.506,1,0
3631,3.2874999999999996,0,0,0,0,0,5.6625,5.7325,0,0
6963,3.594375,0,0,0,0,0,5.328749999999999,5.702500000000001,0,1
1520,3.86,0,0,0,0,0,5.8500000000000005,5.793333333333333,1,1
502,4.9375,0,0,0,0,0,5.4925,5.835,0,1
1150,3.81,0,0,0,0,0,5.176666666666667,5.713333333333334,0,0
2036,4.656666666666666,0,0,0,0,0,5.670000000000001,6.826666666666665,0,0
3379,3.146666666666667,2,0,0,0,0,5.609999999999999,5.866666666666667,0,0
2546,3.7159999999999997,1,0,0,0,0,5.632000000000001,6.016,0,0
2625,3.9257142857142857,2,0,0,0,0,6.172857142857143,6.235714285714286,0,0
2556,3.52,1,0,0,0,0,5.72,5.86,0,0
1611,4.24,0,0,0,0,0,5.84,6.2275,2,0
1515,3.655,1,0,0,0,0,5.46,6.215,0,0
1707,3.706666666666667,1,0,0,0,0,4.766666666666667,4.883333333333334,0,0
5890,3.816666666666667,1,0,0,0,0,5.873333333333334,6.663333333333333,0,0
5376,3.43,0,0,0,0,0,5.5,6.18,0,0
449,3.9425,1,0,0,0,0,5.2075,4.52,0,1
1310,3.4433333333333334,1,0,0,0,0,5.556666666666666,5.823333333333333,0,0
4800,3.8242857142857147,0,0,0,0,0,5.1899999999999995,5.577142857142857,0,2
2491,4.022222222222222,0,0,0,0,0,5.1033333333333335,5.23,0,1
821,3.6733333333333333,0,0,0,1,0,5.913333333333333,6.416666666666667,0,0
6070,3.55,0,0,0,0,0,5.859999999999999,6.135,0,0
5316,4.1,0,0,0,1,0,6.165,5.865,0,0
3812,4.078571428571428,0,0,0,0,0,5.290000000000001,5.654285714285714,1,1
4965,3.43,0,0,0,0,0,5.5,6.18,0,0
5156,4.176666666666667,0,0,0,1,0,6.236666666666667,6.84,1,0
5828,4.04,0,0,0,0,0,5.3825,6.555,0,0
3727,4.4688888888888885,2,1,0,1,0,5.475555555555555,6.033333333333333,2,1
7001,3.05,0,0,0,0,0,5.94,6.61,0,0
123,3.14,1,0,0,0,0,6.075,6.275,0,0
2998,3.9083333333333337,0,0,0,0,0,5.521666666666667,5.753333333333333,0,0
3720,3.43,0,0,0,0,0,5.5,6.18,0,1
4770,4.7725,1,0,0,0,0,6.5075,6.2524999999999995,1,0
954,3.6900000000000004,0,0,0,0,0,5.925,6.295,0,0
5646,3.425,1,0,0,0,0,5.385,6.08,0,0
7051,3.285,0,0,0,0,0,5.970000000000001,6.295,0,0
3300,3.914,1,0,0,0,0,5.6339999999999995,5.7780000000000005,0,0
385,4.52,1,0,0,0,0,7.18,7.26,0,0
6639,3.43,0,0,0,0,0,5.5,6.18,0,0
2375,3.9739999999999993,0,0,0,0,0,5.156000000000001,5.636,0,1
5153,3.43,1,0,0,0,1,5.5,6.18,0,0
2930,3.4749999999999996,0,0,0,0,0,6.455,6.015,1,0
